Titre du bulletin (ANSSI),Lien du bulletin (ANSSI),Type de bulletin,Identifiant CVE,Score CVSS,Base severity,Score Epss,Type CWE,Description CWE,Editeur,Produit,Versions affectées 
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-41065,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-43879,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.19']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46729,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46761,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-49975,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.5']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46825,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-43858,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.12']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-50179,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.2']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46697,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['6.7']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46687,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.3']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-47696,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.11']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42303,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['6.3']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46853,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.1']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-41091,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.20']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-43904,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46795,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.15']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-50015,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.10']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46706,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.2']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-43829,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.1']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-36968,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.39']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-47674,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42307,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-45008,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46788,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.5']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46726,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-50188,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.10']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2023-52917,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.2']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-44973,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['6.8']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-44990,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42265,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-44987,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.32']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-43866,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['4.14']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-44982,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.19']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-40915,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.7']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46730,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46728,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46694,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.0']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-45011,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.14']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-38597,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.1']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-49982,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-43911,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42271,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.4']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42302,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.3']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2021-47101,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['4.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46865,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,"['5.10.226', '5.15.167', '6.1.110', '6.6.51', '6.10.10']"
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46834,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46793,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['6.8']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42156,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['4.11']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-45009,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.10']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46772,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42313,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.13']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-45028,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.27']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2023-52757,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42301,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-43909,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42321,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.2']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-38544,6.3,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.12']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42273,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['6.8']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-26893,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.8']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-47720,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42298,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.4']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-41064,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-47742,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.7']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-47709,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.11']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-41020,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['2.6.13']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46782,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.5']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-47706,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.12']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-43857,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.5']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46702,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-47747,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.15']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-44963,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-41011,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.3']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46719,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-49877,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.20']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-42291,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.13']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-43902,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-43818,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.0']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-44947,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['2.6.36']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-38538,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.12']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-44985,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.15']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46693,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.3']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2022-48938,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46760,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.2']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2021-47001,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.5']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-35967,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['3.8']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-36953,4.4,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.7']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46858,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.10']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-43905,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-44948,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['2.6.22']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46716,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-49886,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.0']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-46672,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.4']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-44989,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2024-38545,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0022/,avis,CVE-2023-6610,7.1,Non disponible,0.000460000,CWE-125,Out-of-bounds Read,Red Hat,Red Hat Enterprise Linux 9,[]
Multiples vulnérabilités dans le noyau Linux de Red Hat (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0023/,avis,CVE-2024-46713,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.1']
Multiples vulnérabilités dans le noyau Linux de Red Hat (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0023/,avis,CVE-2024-50208,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.7']
Multiples vulnérabilités dans le noyau Linux de Red Hat (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0023/,avis,CVE-2024-26830,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['3.14']
Multiples vulnérabilités dans le noyau Linux de Red Hat (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0023/,avis,CVE-2024-53122,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.10']
Multiples vulnérabilités dans le noyau Linux de Red Hat (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0023/,avis,CVE-2024-35890,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.15']
Multiples vulnérabilités dans le noyau Linux de Red Hat (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0023/,avis,CVE-2024-53088,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.10']
Multiples vulnérabilités dans le noyau Linux de Red Hat (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0023/,avis,CVE-2024-50252,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.17']
Multiples vulnérabilités dans le noyau Linux de Red Hat (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0023/,avis,CVE-2024-41040,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.13']
Multiples vulnérabilités dans le noyau Linux de SUSE (10 janvier 2025),https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0024/,avis,CVE-2024-46755,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
